ID,CLIENT_ID,ACCOUNT_ID,PRODUCT_ID,CHANNEL_ID,SECTOR_ID,AMOUNT,CURRENCY,DATE_TIME,TRANSACTION_TYPE
T00036,CL0211,AC05,P07,CH02,BK05,177627.95,USD,2023-01-02T04:33:57,Interest Payment
T00037,CL0211,AC04,P01,CH02,BK07,747904.79,USD,2023-01-02T04:51:17,Commission Charge
T00038,CL0180,AC06,P04,CH06,BK05,-966001.21,USD,2023-01-02T04:57:52,Card Payment
T00039,CL0103,AC06,P06,CH05,BK04,-1066169.61,USD,2023-01-02T06:23:13,Interest Payment
T00040,CL0045,AC07,P11,CH04,BK02,54749.26,USD,2023-01-02T08:22:32,Foreign Exchange
T00041,CL0093,AC06,P02,CH05,BK05,-1439731,USD,2023-01-02T08:26:24,Card Payment
T00042,CL0201,AC06,P10,CH01,BK03,-1193389.64,USD,2023-01-02T08:29:13,Commission Charge
T00043,CL0244,AC01,P06,CH04,BK01,2983347.15,USD,2023-01-02T08:32:05,Deposit
T00044,CL0023,AC06,P05,CH05,BK05,-1324367.66,USD,2023-01-02T08:57:10,Interest Payment
T00045,CL0182,AC07,P02,CH02,BK02,65865.91,USD,2023-01-02T09:00:08,ATM Withdrawal
T00046,CL0150,AC06,P11,CH05,BK05,-929458.76,USD,2023-01-02T09:19:06,Card Payment
T00047,CL0207,AC03,P04,CH02,BK05,519378.94,USD,2023-01-02T09:57:31,Deposit
T00048,CL0178,AC06,P01,CH04,BK06,-1005664.63,USD,2023-01-02T10:46:51,Withdrawal
T00049,CL0099,AC05,P01,CH01,BK03,234339.57,USD,2023-01-02T11:29:26,Mobile Transfer
T00050,CL0055,AC06,P02,CH03,BK02,-1099514.82,USD,2023-01-02T12:08:23,Commission Charge
T00051,CL0237,AC05,P01,CH02,BK07,262205.6,USD,2023-01-02T12:48:39,Deposit
T00052,CL0080,AC01,P09,CH01,BK07,2359623.93,USD,2023-01-02T12:53:31,Foreign Exchange
T00053,CL0130,AC01,P09,CH06,BK02,3510253.09,USD,2023-01-02T13:16:38,Interest Payment
T00054,CL0234,AC06,P06,CH01,BK03,-1211232.68,USD,2023-01-02T15:11:58,Deposit
T00055,CL0031,AC02,P09,CH01,BK06,-870494.54,USD,2023-01-02T16:31:51,Foreign Exchange
T00056,CL0230,AC05,P08,CH06,BK07,233016.89,USD,2023-01-02T17:01:10,Interest Payment
T00057,CL0018,AC08,P09,CH03,BK03,-392545.37,USD,2023-01-02T17:28:55,Withdrawal
T00058,CL0170,AC03,P05,CH06,BK06,701926.2,USD,2023-01-02T18:23:13,Withdrawal
T00059,CL0047,AC06,P02,CH03,BK04,-1474749.09,USD,2023-01-02T18:44:51,Withdrawal
T00060,CL0172,AC08,P02,CH05,BK06,-344191.03,USD,2023-01-02T19:44:43,Withdrawal
T00061,CL0085,AC06,P02,CH06,BK04,-1178976.73,USD,2023-01-02T22:25:52,ATM Withdrawal
T00062,CL0168,AC08,P02,CH01,BK05,-344912.35,USD,2023-01-02T23:09:34,Interest Payment
T00063,CL0170,AC05,P07,CH05,BK02,162051.38,USD,2023-01-03T00:07:30,Foreign Exchange
T00064,CL0048,AC02,P03,CH02,BK05,-892597.46,USD,2023-01-03T00:42:36,Transfer
T00065,CL0108,AC04,P05,CH05,BK04,479484.69,USD,2023-01-03T01:01:14,Loan Payment
T00066,CL0067,AC05,P10,CH02,BK02,262067.18,USD,2023-01-03T02:36:45,Loan Payment
T00067,CL0026,AC06,P04,CH06,BK01,-1161715.12,USD,2023-01-03T03:25:55,Loan Payment
T00068,CL0180,AC03,P08,CH04,BK01,585672.53,USD,2023-01-03T03:34:04,Interest Payment
T00069,CL0140,AC01,P09,CH01,BK03,2924413.03,USD,2023-01-03T03:42:39,Withdrawal
T00070,CL0099,AC01,P04,CH02,BK04,2389247.72,USD,2023-01-03T03:42:45,Deposit
T00071,CL0166,AC02,P10,CH03,BK04,-598025.24,USD,2023-01-03T03:52:48,Mobile Transfer
T00072,CL0055,AC05,P11,CH01,BK07,242681.19,USD,2023-01-03T03:58:31,Loan Payment
T00073,CL0079,AC02,P11,CH06,BK04,-682113.82,USD,2023-01-03T03:59:31,Commission Charge
T00074,CL0009,AC05,P08,CH03,BK04,213313.47,USD,2023-01-03T04:00:29,Foreign Exchange
T00075,CL0109,AC03,P05,CH06,BK04,628901.83,USD,2023-01-03T04:49:24,Loan Payment
T00076,CL0069,AC02,P03,CH05,BK06,-716156.4,USD,2023-01-03T05:07:16,Foreign Exchange
T00077,CL0032,AC03,P08,CH03,BK02,554963.87,USD,2023-01-03T05:48:38,Transfer
T00078,CL0129,AC02,P01,CH04,BK02,-798410.61,USD,2023-01-03T06:07:29,Deposit
T00079,CL0125,AC01,P02,CH03,BK01,3209283.32,USD,2023-01-03T06:20:17,Card Payment
T00080,CL0149,AC03,P03,CH03,BK06,618656.55,USD,2023-01-03T06:56:39,Mobile Transfer
T00081,CL0118,AC01,P03,CH03,BK07,2698455.27,USD,2023-01-03T07:58:18,Withdrawal
T00082,CL0150,AC03,P03,CH02,BK04,620811.49,USD,2023-01-03T09:08:21,Card Payment
T00083,CL0019,AC06,P07,CH04,BK03,-1318278.63,USD,2023-01-03T09:15:56,Deposit
T00084,CL0207,AC07,P01,CH05,BK05,49999.12,USD,2023-01-03T11:29:55,Mobile Transfer
T00085,CL0058,AC07,P08,CH03,BK03,62214.82,USD,2023-01-03T11:49:57,Transfer
T00086,CL0229,AC02,P02,CH04,BK07,-738191.21,USD,2023-01-03T13:54:35,Withdrawal
T00087,CL0030,AC01,P06,CH03,BK05,3335714.46,USD,2023-01-03T15:55:05,ATM Withdrawal
T00088,CL0136,AC04,P09,CH02,BK04,635259.72,USD,2023-01-03T15:59:17,Foreign Exchange
T00089,CL0003,AC01,P02,CH06,BK02,2576074,USD,2023-01-03T16:36:34,Commission Charge
T00090,CL0109,AC04,P11,CH04,BK02,678071.89,USD,2023-01-03T17:09:26,Withdrawal
T00091,CL0248,AC08,P11,CH01,BK02,-288768.28,USD,2023-01-03T17:11:48,Mobile Transfer
T00092,CL0195,AC02,P06,CH04,BK01,-831098.54,USD,2023-01-03T19:15:18,Deposit
T00093,CL0208,AC05,P07,CH02,BK06,250156.78,USD,2023-01-03T20:56:57,Transfer
T00094,CL0031,AC01,P07,CH02,BK03,2339240.83,USD,2023-01-03T22:35:00,Withdrawal
T00095,CL0183,AC03,P02,CH02,BK04,510229.13,USD,2023-01-03T22:40:29,Withdrawal
T00096,CL0149,AC05,P06,CH05,BK07,163802.75,USD,2023-01-03T23:50:19,Mobile Transfer
T00097,CL0182,AC08,P11,CH01,BK02,-364649.66,USD,2023-01-04T00:17:50,Card Payment
T00098,CL0069,AC05,P01,CH01,BK05,188734.96,USD,2023-01-04T01:28:14,Deposit
T00099,CL0192,AC08,P07,CH01,BK03,-250122.79,USD,2023-01-04T02:19:18,Commission Charge
T00100,CL0202,AC08,P10,CH06,BK02,-357877.76,USD,2023-01-04T02:22:40,Interest Payment
T00101,CL0195,AC06,P11,CH02,BK04,-976807.49,USD,2023-01-04T03:49:16,Commission Charge
T00102,CL0070,AC07,P08,CH02,BK07,68680.41,USD,2023-01-04T04:01:28,Card Payment
T00103,CL0009,AC08,P07,CH06,BK07,-325989.97,USD,2023-01-04T04:05:43,Loan Payment
T00104,CL0139,AC07,P09,CH04,BK07,70527.95,USD,2023-01-04T05:19:00,Transfer
T00105,CL0079,AC02,P11,CH05,BK01,-904689.8,USD,2023-01-04T06:04:05,Foreign Exchange
T00106,CL0017,AC04,P01,CH06,BK04,756105.2,USD,2023-01-04T06:58:18,Deposit
T00107,CL0143,AC04,P03,CH03,BK01,478687.39,USD,2023-01-04T07:15:10,Foreign Exchange
T00108,CL0004,AC07,P06,CH02,BK06,69828.93,USD,2023-01-04T07:53:37,Card Payment
T00109,CL0036,AC03,P03,CH04,BK05,537044.42,USD,2023-01-04T09:00:10,ATM Withdrawal
T00110,CL0210,AC08,P08,CH03,BK04,-244963.76,USD,2023-01-04T09:06:37,Transfer
T00111,CL0120,AC05,P10,CH03,BK03,225943.43,USD,2023-01-04T09:32:10,Transfer
T00112,CL0045,AC07,P08,CH02,BK02,64385.88,USD,2023-01-04T09:32:42,Card Payment
T00113,CL0039,AC05,P05,CH05,BK02,248095.44,USD,2023-01-04T11:07:42,ATM Withdrawal
T00114,CL0086,AC01,P06,CH06,BK07,3362903.26,USD,2023-01-04T13:25:31,Withdrawal
T00115,CL0053,AC08,P05,CH03,BK03,-272845.94,USD,2023-01-04T16:05:08,Withdrawal
T00116,CL0177,AC05,P03,CH03,BK06,224507.08,USD,2023-01-04T16:29:20,Card Payment
T00117,CL0210,AC03,P07,CH02,BK01,600205.17,USD,2023-01-04T16:41:05,Loan Payment
T00118,CL0130,AC01,P06,CH01,BK03,3299239.83,USD,2023-01-04T17:06:36,ATM Withdrawal
T00119,CL0075,AC06,P01,CH04,BK06,-1054410,USD,2023-01-04T17:12:33,Withdrawal
T00120,CL0179,AC03,P06,CH02,BK04,561190.48,USD,2023-01-04T20:51:22,Commission Charge
T00121,CL0080,AC05,P04,CH01,BK06,162856.22,USD,2023-01-04T21:01:24,Card Payment
T00122,CL0082,AC08,P05,CH04,BK02,-276404.84,USD,2023-01-04T23:08:36,Loan Payment
T00123,CL0230,AC07,P08,CH04,BK04,51733.04,USD,2023-01-05T00:42:16,Card Payment
T00124,CL0222,AC02,P06,CH05,BK01,-702058.46,USD,2023-01-05T01:28:19,Transfer
T00125,CL0026,AC02,P01,CH02,BK02,-860768.41,USD,2023-01-05T02:06:40,Deposit
T00126,CL0026,AC03,P09,CH05,BK02,669476.31,USD,2023-01-05T02:29:43,Withdrawal
T00127,CL0005,AC04,P07,CH05,BK03,580797.56,USD,2023-01-05T03:17:20,Interest Payment
T00128,CL0151,AC05,P03,CH05,BK04,198707.55,USD,2023-01-05T05:35:26,Foreign Exchange
T00129,CL0140,AC08,P06,CH04,BK04,-243261.35,USD,2023-01-05T06:30:22,Loan Payment
T00130,CL0016,AC02,P06,CH05,BK02,-606610.96,USD,2023-01-05T06:56:55,Transfer
T00131,CL0022,AC01,P03,CH04,BK02,3520868.28,USD,2023-01-05T07:42:04,Foreign Exchange
T00132,CL0027,AC03,P04,CH03,BK06,556796.11,USD,2023-01-05T08:49:04,Interest Payment
T00133,CL0126,AC04,P03,CH02,BK07,719410.59,USD,2023-01-05T10:05:49,Foreign Exchange
T00134,CL0221,AC04,P09,CH06,BK01,691521.85,USD,2023-01-05T11:08:12,Transfer
T00135,CL0022,AC02,P07,CH04,BK06,-946524.21,USD,2023-01-05T11:50:49,Withdrawal
T00136,CL0096,AC01,P06,CH02,BK03,2318821.52,USD,2023-01-05T13:20:59,Card Payment
T00137,CL0137,AC01,P10,CH03,BK06,2666870.06,USD,2023-01-05T13:27:57,Deposit
T00138,CL0210,AC02,P02,CH01,BK03,-621426.87,USD,2023-01-05T13:31:57,Mobile Transfer
T00139,CL0218,AC07,P10,CH04,BK03,55315.59,USD,2023-01-05T14:03:10,Loan Payment
T00140,CL0068,AC04,P02,CH04,BK07,759091.07,USD,2023-01-05T14:10:00,Transfer
T00141,CL0079,AC07,P06,CH06,BK03,62644.75,USD,2023-01-05T14:56:04,Foreign Exchange
T00142,CL0046,AC05,P09,CH04,BK07,226292.12,USD,2023-01-05T16:25:24,Foreign Exchange
T00143,CL0156,AC04,P04,CH06,BK05,485873.27,USD,2023-01-05T16:26:59,Withdrawal
T00144,CL0195,AC08,P02,CH04,BK02,-306029.4,USD,2023-01-05T18:33:51,Foreign Exchange
T00145,CL0229,AC06,P05,CH02,BK06,-1024025.42,USD,2023-01-05T19:44:54,Interest Payment
T00146,CL0020,AC07,P08,CH05,BK05,62302.21,USD,2023-01-05T22:43:54,Mobile Transfer
T00147,CL0113,AC01,P02,CH05,BK02,3339877.68,USD,2023-01-05T23:41:26,Withdrawal
T00148,CL0147,AC07,P09,CH06,BK03,52565.65,USD,2023-01-06T01:10:22,Mobile Transfer
T00149,CL0060,AC06,P01,CH06,BK04,-1040270.76,USD,2023-01-06T01:39:24,Deposit
T00150,CL0169,AC04,P03,CH01,BK02,505746.51,USD,2023-01-06T02:24:43,Foreign Exchange
T00151,CL0100,AC05,P01,CH02,BK06,206137.7,USD,2023-01-06T04:07:11,Transfer
T00152,CL0150,AC08,P04,CH06,BK07,-274517.77,USD,2023-01-06T06:03:05,Interest Payment
T00153,CL0045,AC01,P04,CH02,BK01,2636936.21,USD,2023-01-06T06:32:19,ATM Withdrawal
T00154,CL0157,AC02,P04,CH04,BK02,-850539.56,USD,2023-01-06T06:36:07,Foreign Exchange
T00155,CL0056,AC05,P05,CH05,BK06,186029.74,USD,2023-01-06T07:06:20,Transfer
T00156,CL0176,AC07,P03,CH01,BK01,48093.66,USD,2023-01-06T07:18:04,Mobile Transfer
T00157,CL0178,AC07,P02,CH03,BK07,56994.28,USD,2023-01-06T07:40:44,Loan Payment
T00158,CL0057,AC01,P08,CH01,BK02,3234615.43,USD,2023-01-06T08:54:35,Deposit
T00159,CL0171,AC03,P02,CH05,BK04,513206.3,USD,2023-01-06T09:13:24,Deposit
T00160,CL0108,AC01,P04,CH03,BK01,3321412.69,USD,2023-01-06T10:11:38,Foreign Exchange
T00161,CL0035,AC05,P10,CH03,BK03,229036.9,USD,2023-01-06T10:12:20,ATM Withdrawal
T00162,CL0164,AC05,P02,CH03,BK03,184021.95,USD,2023-01-06T10:46:14,Transfer
T00163,CL0165,AC03,P10,CH01,BK05,459138.79,USD,2023-01-06T11:13:37,Deposit
T00164,CL0053,AC01,P03,CH04,BK03,2868200.33,USD,2023-01-06T11:20:54,Mobile Transfer
T00165,CL0053,AC01,P03,CH06,BK06,2986957.27,USD,2023-01-06T11:28:39,Withdrawal
T00166,CL0190,AC06,P10,CH01,BK06,-1153534.7,USD,2023-01-06T13:53:26,Foreign Exchange
T00167,CL0080,AC01,P03,CH02,BK05,3049676.76,USD,2023-01-06T15:10:39,Withdrawal
T00168,CL0121,AC03,P01,CH02,BK05,656254.89,USD,2023-01-06T15:37:06,Loan Payment
T00169,CL0033,AC05,P07,CH06,BK03,174932.68,USD,2023-01-06T16:31:03,Card Payment
T00170,CL0231,AC02,P07,CH04,BK06,-635967.75,USD,2023-01-06T16:44:02,Card Payment
T00171,CL0116,AC03,P04,CH03,BK03,546131.54,USD,2023-01-06T16:57:44,Loan Payment
T00172,CL0172,AC05,P09,CH01,BK02,174862.52,USD,2023-01-06T18:22:23,Interest Payment
T00173,CL0108,AC06,P05,CH01,BK01,-1471490.1,USD,2023-01-06T20:05:28,Mobile Transfer
T00174,CL0078,AC05,P08,CH06,BK04,221337.16,USD,2023-01-06T21:10:46,Mobile Transfer
T00175,CL0134,AC04,P07,CH02,BK02,726524.63,USD,2023-01-06T21:15:09,Card Payment
T00176,CL0128,AC05,P06,CH02,BK03,171474.35,USD,2023-01-06T21:40:00,Transfer
T00177,CL0005,AC05,P07,CH03,BK06,259735.16,USD,2023-01-06T22:31:09,Foreign Exchange
T00178,CL0118,AC06,P02,CH06,BK01,-1350316.8,USD,2023-01-06T22:53:06,Interest Payment
T00179,CL0043,AC05,P05,CH04,BK02,200547.29,USD,2023-01-06T22:57:08,Interest Payment
T00180,CL0014,AC03,P04,CH01,BK03,541360.03,USD,2023-01-06T23:18:31,Foreign Exchange
T00181,CL0144,AC05,P09,CH06,BK07,165424.98,USD,2023-01-06T23:56:02,ATM Withdrawal
T00182,CL0010,AC03,P02,CH01,BK03,459647.9,USD,2023-01-07T00:00:01,Card Payment
T00183,CL0031,AC01,P08,CH04,BK04,2452395.38,USD,2023-01-07T00:16:48,Mobile Transfer
T00184,CL0046,AC04,P08,CH01,BK01,786124.73,USD,2023-01-07T01:32:43,Loan Payment
T00185,CL0145,AC03,P09,CH01,BK07,446149.99,USD,2023-01-07T01:55:12,ATM Withdrawal
T00186,CL0167,AC07,P09,CH02,BK05,59577.29,USD,2023-01-07T02:23:11,Card Payment
T00187,CL0146,AC05,P07,CH03,BK06,218496.27,USD,2023-01-07T02:32:16,Transfer
T00188,CL0218,AC03,P09,CH02,BK02,437879.8,USD,2023-01-07T04:20:25,Loan Payment
T00189,CL0211,AC07,P03,CH01,BK01,60279.72,USD,2023-01-07T04:25:00,Deposit
T00190,CL0248,AC08,P11,CH02,BK04,-266627.65,USD,2023-01-07T05:26:14,Card Payment
T00191,CL0162,AC01,P07,CH06,BK07,2167083.91,USD,2023-01-07T06:35:29,Loan Payment
T00192,CL0209,AC08,P11,CH01,BK01,-357821.28,USD,2023-01-07T07:13:21,Card Payment
T00193,CL0091,AC08,P08,CH06,BK07,-366262.56,USD,2023-01-07T07:44:36,Mobile Transfer
T00194,CL0033,AC04,P05,CH02,BK04,628253.48,USD,2023-01-07T09:07:36,Loan Payment
T00195,CL0120,AC08,P02,CH01,BK05,-384178.04,USD,2023-01-07T10:49:48,Mobile Transfer
T00196,CL0008,AC05,P02,CH02,BK04,187767.03,USD,2023-01-07T10:52:41,Mobile Transfer
T00197,CL0231,AC01,P02,CH05,BK02,2170784.57,USD,2023-01-07T11:11:52,Transfer
T00198,CL0055,AC02,P10,CH04,BK01,-906327.26,USD,2023-01-07T11:15:08,Deposit
T00199,CL0061,AC02,P09,CH05,BK02,-708668.55,USD,2023-01-07T11:55:01,ATM Withdrawal
T00200,CL0143,AC07,P08,CH06,BK06,47750.56,USD,2023-01-07T13:41:19,Withdrawal
T00201,CL0103,AC04,P02,CH01,BK07,754164.01,USD,2023-01-07T13:43:51,Card Payment
T00202,CL0078,AC04,P01,CH01,BK07,674002.72,USD,2023-01-07T14:46:38,Transfer
T00203,CL0067,AC06,P01,CH01,BK05,-951052.74,USD,2023-01-07T15:21:10,Interest Payment
T00204,CL0036,AC08,P05,CH02,BK03,-390149.52,USD,2023-01-07T15:27:37,Loan Payment
T00205,CL0183,AC06,P09,CH01,BK05,-992111.94,USD,2023-01-07T15:41:37,Commission Charge
T00206,CL0073,AC05,P06,CH01,BK05,205463.68,USD,2023-01-07T15:50:27,ATM Withdrawal
T00207,CL0201,AC05,P01,CH05,BK02,230525.89,USD,2023-01-07T17:10:48,Commission Charge
T00208,CL0159,AC03,P09,CH05,BK01,601377.16,USD,2023-01-07T18:07:24,Loan Payment
T00209,CL0097,AC01,P09,CH02,BK07,3150403.09,USD,2023-01-07T18:37:01,Commission Charge
T00210,CL0154,AC01,P01,CH01,BK04,2395776.62,USD,2023-01-07T19:20:19,Withdrawal
T00211,CL0091,AC08,P05,CH06,BK02,-314284.43,USD,2023-01-07T19:44:39,ATM Withdrawal
T00212,CL0107,AC08,P03,CH05,BK02,-284913.79,USD,2023-01-07T20:49:55,Mobile Transfer
T00213,CL0002,AC03,P02,CH05,BK06,532485.81,USD,2023-01-07T21:03:13,ATM Withdrawal
T00214,CL0061,AC02,P04,CH06,BK05,-850968.2,USD,2023-01-07T21:11:06,Deposit
T00215,CL0099,AC02,P01,CH05,BK06,-934605.36,USD,2023-01-07T21:31:31,Deposit
T00216,CL0176,AC06,P09,CH03,BK07,-1313419.99,USD,2023-01-07T21:40:32,Interest Payment
T00217,CL0205,AC08,P05,CH02,BK05,-359236.77,USD,2023-01-07T22:52:21,Transfer
T00218,CL0175,AC03,P07,CH02,BK06,610786.54,USD,2023-01-07T22:55:10,Transfer
T00219,CL0212,AC08,P11,CH02,BK07,-338774.12,USD,2023-01-07T23:46:47,Foreign Exchange
T00220,CL0144,AC05,P10,CH05,BK01,236386.51,USD,2023-01-08T00:24:33,Deposit
T00221,CL0044,AC05,P07,CH01,BK04,221275.19,USD,2023-01-08T00:36:04,Loan Payment
T00222,CL0128,AC05,P11,CH05,BK04,236795.48,USD,2023-01-08T01:50:56,Interest Payment
T00223,CL0143,AC02,P06,CH02,BK06,-921266.61,USD,2023-01-08T02:37:03,ATM Withdrawal
T00224,CL0035,AC08,P07,CH06,BK06,-248084.89,USD,2023-01-08T02:40:56,ATM Withdrawal
T00225,CL0175,AC02,P01,CH03,BK05,-788501.19,USD,2023-01-08T03:16:05,Deposit
T00226,CL0155,AC03,P01,CH05,BK05,489605.15,USD,2023-01-08T04:46:43,Mobile Transfer
T00227,CL0202,AC03,P04,CH03,BK06,674310.71,USD,2023-01-08T07:44:25,Withdrawal
T00228,CL0241,AC07,P07,CH05,BK02,70405.85,USD,2023-01-08T08:56:16,Interest Payment
T00229,CL0180,AC03,P05,CH02,BK07,699505.89,USD,2023-01-08T09:05:05,Card Payment
T00230,CL0097,AC08,P04,CH06,BK02,-273182.88,USD,2023-01-08T09:05:12,Withdrawal
T00231,CL0044,AC05,P11,CH02,BK05,203830.07,USD,2023-01-08T09:30:20,Mobile Transfer
T00232,CL0209,AC01,P08,CH01,BK07,3234441.58,USD,2023-01-08T10:35:15,ATM Withdrawal
T00233,CL0047,AC02,P05,CH06,BK02,-878187.43,USD,2023-01-08T10:36:44,Transfer
T00234,CL0118,AC03,P06,CH03,BK07,553765.59,USD,2023-01-08T13:07:51,Loan Payment
T00235,CL0205,AC03,P11,CH05,BK05,471083.76,USD,2023-01-08T14:18:42,Foreign Exchange
T00236,CL0089,AC07,P06,CH05,BK06,56852.11,USD,2023-01-08T15:28:30,Foreign Exchange
T00237,CL0240,AC07,P09,CH03,BK05,67939.77,USD,2023-01-08T16:01:54,Mobile Transfer
T00238,CL0118,AC05,P05,CH01,BK03,196845.52,USD,2023-01-08T17:42:23,Interest Payment
T00239,CL0028,AC07,P06,CH01,BK01,51961.77,USD,2023-01-08T17:55:41,Commission Charge
T00240,CL0088,AC07,P08,CH01,BK01,47699.79,USD,2023-01-08T18:40:06,Transfer
T00241,CL0047,AC05,P03,CH06,BK04,185920.92,USD,2023-01-08T18:58:29,Deposit
T00242,CL0163,AC04,P08,CH03,BK07,531479.29,USD,2023-01-08T19:04:09,Loan Payment
T00243,CL0192,AC07,P06,CH05,BK05,71220.73,USD,2023-01-08T19:18:04,Loan Payment
T00244,CL0193,AC08,P06,CH03,BK07,-287503.7,USD,2023-01-08T20:47:27,Deposit
T00245,CL0039,AC01,P01,CH02,BK06,2190164.35,USD,2023-01-08T21:46:57,Commission Charge
T00246,CL0205,AC02,P06,CH03,BK06,-609893.1,USD,2023-01-08T22:09:14,Mobile Transfer
T00247,CL0217,AC01,P09,CH04,BK07,2315589.67,USD,2023-01-08T22:14:11,Withdrawal
T00248,CL0046,AC05,P11,CH06,BK07,180893.79,USD,2023-01-08T22:20:57,Interest Payment
T00249,CL0006,AC01,P09,CH04,BK05,3174807.96,USD,2023-01-08T22:58:26,Commission Charge
T00250,CL0179,AC06,P08,CH04,BK04,-968200.98,USD,2023-01-08T23:12:57,Interest Payment
T00251,CL0250,AC06,P11,CH03,BK03,-1264921.75,USD,2023-01-08T23:16:26,Commission Charge
T00252,CL0177,AC07,P01,CH06,BK06,57927.43,USD,2023-01-09T00:31:39,Foreign Exchange
T00253,CL0115,AC08,P09,CH05,BK06,-273087.82,USD,2023-01-09T00:42:57,Deposit
T00254,CL0040,AC05,P07,CH01,BK02,212368.85,USD,2023-01-09T00:58:09,Foreign Exchange
T00255,CL0117,AC03,P02,CH01,BK01,450556.19,USD,2023-01-09T01:28:04,Loan Payment
T00256,CL0219,AC04,P01,CH06,BK05,636691.87,USD,2023-01-09T01:38:36,Deposit
T00257,CL0161,AC05,P05,CH05,BK06,162961.89,USD,2023-01-09T01:39:55,Interest Payment
T00258,CL0216,AC03,P09,CH05,BK05,614273.98,USD,2023-01-09T01:45:03,ATM Withdrawal
T00259,CL0200,AC08,P05,CH04,BK07,-263278.33,USD,2023-01-09T03:04:16,Interest Payment
T00260,CL0229,AC06,P09,CH03,BK07,-988435.89,USD,2023-01-09T04:14:48,Commission Charge
T00261,CL0076,AC07,P11,CH06,BK05,45548.09,USD,2023-01-09T05:08:26,Transfer
T00262,CL0085,AC06,P10,CH01,BK01,-1238229.07,USD,2023-01-09T05:12:47,Foreign Exchange
